what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1531795087201
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1531795087201
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1531795087202
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1531795087203
os,sysinfo,,,"win32",1531795087205
arch,sysinfo,,,"x86_64",1531795087205
ws,sysinfo,,,"win32",1531795087205
locale,sysinfo,,,"zh_CN",1531795087205
processors,sysinfo,,,"4",1531795087205
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1531795087205
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1531795087205
java.specification.name,sysinfo,,,"Java Platform API Specification",1531795087205
java.specification.vendor,sysinfo,,,"Oracle Corporation",1531795087205
java.specification.version,sysinfo,,,"1.8",1531795087205
java.vendor,sysinfo,,,"Oracle Corporation",1531795087205
java.version,sysinfo,,,"1.8.0_171",1531795087205
java.vm.info,sysinfo,,,"mixed mode",1531795087205
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1531795087205
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531795087205
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1531795087205
java.vm.specification.version,sysinfo,,,"1.8",1531795087205
java.vm.vendor,sysinfo,,,"Oracle Corporation",1531795087205
java.vm.version,sysinfo,,,"25.171-b11",1531795087205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531795090085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1531795099487
error,log,,,"New Project Wizard failed",1531795102977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531795106212
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1531795106370
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1531795106371
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1531795106372
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1531795106399
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1531795106688
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1531795106911
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1531795106962
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1531795106969
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1531795107003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1531795107195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1531795107195
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1531795116760
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1531795117045
