00:00:05 [DEBUG]	 SELF 	 [648044]Curr Timer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@1e66d8af<ModuleHeartBeatTask.java: Line 25>
00:00:05 [DEBUG]	 SELF 	 [648044]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@1e66d8af<ModuleHeartBeatTask.java: Line 49>
00:00:07 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:00:07 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:00:07 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:00:07 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:00:17 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:00:17 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:00:17 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:00:17 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:00:27 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:00:27 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:00:27 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:00:27 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:00:37 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:00:37 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:00:37 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:00:37 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:00:47 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:00:47 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:00:47 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:00:47 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:00:57 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:00:57 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:00:57 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:00:57 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:01:00 [DEBUG]	 SELF 	 [648044]Curr Timer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@1e66d8af<ModuleHeartBeatTask.java: Line 25>
00:01:00 [DEBUG]	 SELF 	 [648044]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@1e66d8af<ModuleHeartBeatTask.java: Line 49>
00:01:07 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:01:07 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:01:07 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:01:07 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
00:01:17 [DEBUG]	 RECV 	 (/192.168.0.113:5003)	 FromModule: 0,HEART,TEST,648044#<ServerWorkThread.java: Line 1010>
00:01:17 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Resv HEART<ModuleHeartMsgHandle.java: Line 35>
00:01:17 [DEBUG]	 SEND 	 (/192.168.0.113:5003)	 [0,Server_Echo,TEST,648044,0#] Succeed to Send HEART Echo<ModuleHeartMsgHandle.java: Line 46>
00:01:17 [DEBUG]	 SELF 	 (/192.168.0.113:5003)	 Completed to Excute Command(Ret:0x00000000).<ServerWorkThread.java: Line 1039>
