11:06:10 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:10:15 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:10:19 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:11:33 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:12:14 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:13:05 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:14:33 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:15:00 [HEART]	 SELF 	 [648145]Server did not receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@503169a6
11:16:51 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@3c2af087
11:17:47 [HEART]	 SELF 	 [648145]Server did not receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@3c2af087
11:19:21 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@77fa63d1
11:20:16 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@77fa63d1
11:21:11 [HEART]	 SELF 	 [648145]Server did not receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@77fa63d1
11:22:15 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:23:10 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:24:05 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:25:00 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:25:55 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:26:50 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:27:45 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:28:40 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:29:35 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:30:30 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:31:25 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:32:20 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:33:15 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
11:34:10 [HEART]	 SELF 	 [648145]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2aa933fb
